Gene name,Strand,RefSeq mRNA ID,NCBI gene (formerly Entrezgene) ID
TP53TG3,-1,,102724101
TP53TG3,-1,NM_016212,102724101
TP53TG3,-1,,102724127
TP53TG3,-1,NM_016212,102724127
RNU6-616P,-1,,
RNU6-203P,-1,,
MIR450A1,-1,,554214
MIR1277,1,,100302214
MIR542,-1,,664617
RN7SKP31,1,,
IFNWP18,-1,,
MIR503,-1,,574506
MIR424,-1,,494336
MIR504,-1,,574507
RNU4-44P,-1,,
RAD23B,1,,5887
RAD23B,1,NM_002874,5887
RAD23B,1,NM_001244713,5887
RAD23B,1,NM_001244724,5887
MIR934,1,,100126324
RNU6-3P,-1,,
RN7SKP149,-1,,
RNA5SP517,-1,,
RNA5SP516,1,,
MIR514A2,-1,,574517
MIR514A1,-1,,574516
RN7SKP81,1,,
RN7SL190P,-1,,
MIR320D2,-1,,
RN7SL325P,1,,
MIR363,-1,,574031
MIR892C,-1,,102466721
RNA5SP524,-1,,
RNU6-320P,1,,
MIR514A3,-1,,574518
MIR92A2,-1,,407049
MIR890,-1,,100126303
RNU6-985P,-1,,
MIR19B2,-1,,406981
MIR888,-1,,100126306
MIR892A,-1,,100126342
MIR20B,-1,,574032
MIR892B,-1,,100126307
MIR18B,-1,,574033
MIR891B,-1,,100126304
MIR106A,-1,,406899
RNU1-115P,-1,,
MIR510,-1,,574515
RNU6-383P,-1,,
MIR891A,-1,,100126341
MIR4330,1,,100422930
RN7SKP267,-1,,
RN7SKP189,1,,
RNA5SP525,-1,,
RNU6-764P,-1,,
MIR513C,-1,,100302114
MIR513B,-1,,100313822
MIR105-1,-1,,406897
MIR513A1,-1,,574509
MIR767,-1,,768215
MIR513A2,-1,,574510
RAB43P1,-1,,
MIR105-2,-1,,406898
MIR506,-1,,574511
MIR507,-1,,574512
MIR508,-1,,574513
MIR514B,-1,,100422847
MIR509-2,-1,,100126301
MIR509-3,-1,,100126337
BAK1,-1,NM_001188,578
BAK1,-1,,578
MIR509-1,-1,,574514
RNU6-382P,1,,
NICN2P,-1,,
RN7SL785P,-1,,
IGHV2OR16-5,1,,
SNORA11C,1,,100124540
NPM1P49,-1,,
LINC01560,1,,
NUS1P1,-1,,
SH3BP2,1,,6452
SH3BP2,1,NM_001122681,6452
SH3BP2,1,NM_001145855,6452
SH3BP2,1,NM_001145856,6452
SH3BP2,1,NM_003023,6452
TRIM14,-1,,9830
TRIM14,-1,NM_014788,9830
TRIM14,-1,NM_033219,9830
SYN1,-1,NM_006950,6853
SYN1,-1,NM_133499,6853
SYN1,-1,,6853
DUX4L47,1,,
NETO2,-1,NM_018092,81831
NETO2,-1,NM_001201477,81831
NETO2,-1,,81831
VN1R80P,1,,
CYP4F22,1,NM_173483,126410
CYP4F22,1,,126410
B3GAT2,-1,NM_080742,135152
B3GAT2,-1,,135152
GXYLT1P4,-1,,
KIF16B,-1,NM_024704,55614
KIF16B,-1,NM_001199865,55614
KIF16B,-1,,55614
KIF16B,-1,NM_001199866,55614
DBIP1,-1,,
SAYSD1,-1,NM_001304793,55776
SAYSD1,-1,NM_018322,55776
SAYSD1,-1,,55776
ZBTB43,1,NM_014007,23099
ZBTB43,1,,23099
ZBTB43,1,NM_001135776,23099
DLK2,-1,,65989
DLK2,-1,NM_001286655,65989
DLK2,-1,NM_001286656,65989
DLK2,-1,NM_023932,65989
DLK2,-1,NM_206539,65989
TCL1B,1,NM_004918,9623
TCL1B,1,,9623
YJEFN3,1,NM_001190328,374887
YJEFN3,1,,374887
YJEFN3,1,NM_198537,374887
DEPDC1P2,1,,
TECPR2,1,NM_014844,9895
TECPR2,1,,9895
TECPR2,1,NM_001172631,9895
HNRNPA1P15,1,,
CNN2P3,-1,,
RPS20P24,-1,,
,-1,,100996643
PPP1R1AP2,1,,
CSTF2T,-1,NM_015235,23283
PABIR1,1,NM_138333,116224
TP53TG3E,1,NM_001330061,102724101
TP53TG3E,1,,102724101
CYP2C61P,-1,,
PCGF5,1,,84333
PCGF5,1,NM_032373,84333
PCGF5,1,NM_001256549,84333
PCGF5,1,NM_001257101,84333
MIR4769,1,,100616147
ELK1,-1,NM_005229,2002
ELK1,-1,NM_001114123,2002
ELK1,-1,NM_001257168,2002
ELK1,-1,,2002
CDC5L,1,NM_001253,988
LINC02872,1,,401535
IGHV3OR16-11,-1,,
MTND6P2,-1,,
LINC02160,1,,105374716
EIF4BP5,-1,,
ITFG1-AS1,1,,
RAB28P4,-1,,
C9orf135-DT,-1,,
MAPK6P4,-1,,
HOMER3-AS1,1,,
TRIO,1,,7204
TRIO,1,NM_007118,7204
TXNRD2,-1,NM_001352301,10587
TXNRD2,-1,,10587
TXNRD2,-1,NM_001352302,10587
TXNRD2,-1,NM_001352300,10587
TXNRD2,-1,NM_006440,10587
TXNRD2,-1,NM_001352303,10587
TXNRD2,-1,NM_001282512,10587
MTDHP2,1,,
ELP3,1,,55140
ELP3,1,NM_001284222,55140
ELP3,1,NM_018091,55140
ELP3,1,NM_001284220,55140
ELP3,1,NM_001284226,55140
ELP3,1,NM_001284224,55140
ELP3,1,NM_001284225,55140
BNIP3P19,-1,,
PHBP7,1,,
EEPD1,1,NM_030636,80820
EEPD1,1,,80820
FBP2P1,-1,,
USHBP1,-1,NM_031941,83878
USHBP1,-1,NM_001321417,83878
USHBP1,-1,NM_001297703,83878
USHBP1,-1,,83878
TCF3P1,1,,
ARHGAP19,-1,,84986
ARHGAP19,-1,NM_032900,84986
ARHGAP19,-1,NM_001256423,84986
ARHGAP19,-1,NM_001204300,84986
VPS35L,1,,57020
VPS35L,1,NM_001300743,57020
VPS35L,1,NM_020314,57020
VPS35L,1,NM_001365293,57020
VPS35L,1,NM_001365294,57020
VPS35L,1,NM_001365295,57020
LMX1B,1,NM_002316,4010
LMX1B,1,NM_001174147,4010
LMX1B,1,NM_001174146,4010
SRC,1,,6714
SRC,1,NM_005417,6714
SRC,1,NM_198291,6714
TREML1,-1,NM_001271807,340205
TREML1,-1,NM_178174,340205
TREML1,-1,NM_001271808,340205
TREML1,-1,,340205
ESRG,-1,,790952
UXT,-1,NM_153477,8409
UXT,-1,NM_004182,8409
UXT,-1,,8409
SAPCD2P4,-1,,
RPL7AP38,1,,
SAMD9L,-1,NM_001303500,219285
SAMD9L,-1,NM_001350083,219285
SAMD9L,-1,NM_001350085,219285
SAMD9L,-1,NM_001350082,219285
SAMD9L,-1,NM_152703,219285
SAMD9L,-1,NM_001303498,219285
SAMD9L,-1,NM_001350084,219285
SAMD9L,-1,NM_001303496,219285
SAMD9L,-1,NM_001303497,219285
SAMD9L,-1,,219285
CCL11,1,NM_002986,6356
SCAT8,1,,112935969
LINC02002,-1,,
LINC02318,1,,100506999
UXT-AS1,1,,100133957
TJAP1,1,,93643
TJAP1,1,NM_080604,93643
TJAP1,1,NM_001146019,93643
TJAP1,1,NM_001350569,93643
TJAP1,1,NM_001350561,93643
TJAP1,1,NM_001146016,93643
TJAP1,1,NM_001350562,93643
TJAP1,1,NM_001350563,93643
TJAP1,1,NM_001350564,93643
TJAP1,1,NM_001350570,93643
TJAP1,1,NM_001146018,93643
TJAP1,1,NM_001350567,93643
TJAP1,1,NM_001350565,93643
TJAP1,1,NM_001350568,93643
TJAP1,1,NM_001350566,93643
TJAP1,1,NM_001146017,93643
TJAP1,1,NM_001146020,93643
NPEPPSP1,-1,,
OR4H6BP,1,,
CXXC1P1,1,,392459
SETP2,1,,
ZNF722P,1,,
PSMC1,1,NM_002802,5700
PSMC1,1,,5700
PSMC1,1,NM_001330212,5700
TPD52L2,1,NM_001243892,7165
TPD52L2,1,NM_003288,7165
TPD52L2,1,NM_001243891,7165
TPD52L2,1,NM_199359,7165
TPD52L2,1,NM_199362,7165
TPD52L2,1,NM_199361,7165
TPD52L2,1,NM_199360,7165
TPD52L2,1,NM_199363,7165
TPD52L2,1,,7165
TPD52L2,1,NM_001243894,7165
TPD52L2,1,NM_001243895,7165
,-1,,105375283
GOLM2,1,,113201
GOLM2,1,NM_138423,113201
GOLM2,1,NM_177974,113201
CCNJP1,-1,,
RPL7P30,-1,,
SMSP1,-1,,
CICP28,1,,
RAD23BP2,1,,
WASF4P,1,,
RPL7P57,-1,,
CICP8,1,,
TIMP1,1,,7076
TIMP1,1,NM_003254,7076
C7orf57,1,,136288
C7orf57,1,NM_001267866,136288
C7orf57,1,NM_001100159,136288
C7orf57,1,NM_001267865,136288
ZNF486,1,,90649
ZNF486,1,NM_052852,90649
DPCD,1,,25911
DPCD,1,NM_001329742,25911
DPCD,1,NM_001329745,25911
DPCD,1,NM_015448,25911
DPCD,1,NM_001329743,25911
DPCD,1,NM_001329744,25911
RPL36AP6,-1,,
NANS,1,NM_018946,54187
NANS,1,,54187
ZNF682,-1,,91120
ZNF682,-1,NM_033196,91120
ZNF682,-1,NM_001077349,91120
DAB2IP,1,,153090
DAB2IP,1,NM_138709,153090
DAB2IP,1,NM_032552,153090
ZMYM3,-1,NM_005096,9203
ZMYM3,-1,NM_201599,9203
ZMYM3,-1,NM_001171162,9203
ZMYM3,-1,,9203
ZMYM3,-1,NM_001171163,9203
PTGER2,1,,5732
PTGER2,1,NM_000956,5732
HTR6,1,NM_000871,3362
WDR1,-1,NM_017491,9948
WDR1,-1,,9948
WDR1,-1,NM_005112,9948
LINC01647,1,,101929181
PCLO,-1,NM_033026,27445
PCLO,-1,,27445
PCLO,-1,NM_014510,27445
PHF5CP,-1,,
RPL10P17,-1,,
POLL,-1,,27343
POLL,-1,NM_013274,27343
POLL,-1,NM_001174085,27343
POLL,-1,NM_001174084,27343
POLL,-1,NM_001308382,27343
ZNF626,-1,NM_001076675,199777
ZNF626,-1,,199777
ZNF626,-1,NM_145297,199777
ARHGEF16,1,NM_014448,27237
ARHGEF16,1,,27237
STARD9,1,,57519
STARD9,1,NM_020759,57519
HSPD1P15,1,,
MTA1,1,NM_004689,9112
MTA1,1,,9112
MTA1,1,NM_001203258,9112
LINC02146,-1,,
CHERP,-1,NM_006387,10523
CHERP,-1,,10523
MTHFD2P6,-1,,
SNHG30,1,,
AGXT2,-1,NM_031900,64902
AGXT2,-1,,64902
AGXT2,-1,NM_001306173,64902
CCL7,1,NM_006273,6354
CCL7,1,,6354
CRISP2,-1,NM_001142417,7180
CRISP2,-1,NM_001142408,7180
CRISP2,-1,NM_003296,7180
CRISP2,-1,NM_001142407,7180
CRISP2,-1,NM_001142435,7180
CRISP2,-1,NM_001261822,7180
CRISP2,-1,,7180
IDO2,1,,169355
IDO2,1,NM_194294,169355
BAHD1,1,NM_001301132,22893
BAHD1,1,NM_014952,22893
BAHD1,1,,22893
CCT6P1,1,,
SPATA21,-1,,374955
SPATA21,-1,NM_198546,374955
SPATA21,-1,NM_001353349,374955
RPS15AP24,-1,,
ENPP7P12,-1,,
PPIAP84,-1,,
GABPB1-AS1,1,,
UBE2V2,1,NM_003350,7336
UBE2V2,1,,7336
GRB7,1,,2886
GRB7,1,NM_005310,2886
GRB7,1,NM_001030002,2886
GRB7,1,NM_001242442,2886
GRB7,1,NM_001242443,2886
GRB7,1,NM_001330207,2886
OR11K1P,-1,,
SHC4,-1,NM_203349,399694
SHC4,-1,,399694
ATP13A1,-1,,57130
ATP13A1,-1,NM_020410,57130
C3orf18,-1,NM_001171740,51161
C3orf18,-1,NM_016210,51161
C3orf18,-1,NM_001171741,51161
C3orf18,-1,NM_001171743,51161
C3orf18,-1,,51161
RBP7,1,,116362
RBP7,1,NM_052960,116362
LINC02600,-1,,
SPATA31D2P,1,,
ZNF451-AS1,-1,,
FGF7P6,1,,
LDB2,-1,NM_001304434,9079
LDB2,-1,NM_001130834,9079
LDB2,-1,NM_001290,9079
LDB2,-1,,9079
LDB2,-1,NM_001304435,9079
BBS9,1,,27241
BBS9,1,NM_001348038,27241
BBS9,1,NM_001348042,27241
BBS9,1,NM_014451,27241
BBS9,1,NM_001348040,27241
BBS9,1,NM_001348039,27241
BBS9,1,NM_001033604,27241
BBS9,1,NM_001033605,27241
BBS9,1,NM_001348037,27241
BBS9,1,NM_001348045,27241
BBS9,1,NM_001348046,27241
BBS9,1,NM_001348044,27241
BBS9,1,NM_001348036,27241
BBS9,1,NM_198428,27241
BBS9,1,NM_001348043,27241
BBS9,1,NM_001348041,27241
BBS9,1,NM_001362679,27241
GPR157,-1,NM_024980,80045
GPR157,-1,,80045
SEL1L2,-1,,80343
SEL1L2,-1,NM_025229,80343
SEL1L2,-1,NM_001271539,80343
SEL1L2,-1,NM_001363752,80343
DAPK1,1,NM_001288731,1612
DAPK1,1,NM_001288730,1612
DAPK1,1,,1612
DAPK1,1,NM_004938,1612
DAPK1,1,NM_001288729,1612
LAP3P1,-1,,
ZBTB40,1,,9923
ZBTB40,1,NM_014870,9923
ZBTB40,1,NM_001083621,9923
ZBTB40,1,NM_001330398,9923
PKHD1,-1,NM_138694,5314
PKHD1,-1,NM_170724,5314
RICTOR,-1,NM_001285440,253260
RICTOR,-1,NM_152756,253260
RICTOR,-1,,253260
RICTOR,-1,NM_001285439,253260
SMIM4,1,,440957
SMIM4,1,NM_001124767,440957
ZNF652P1,-1,,
SLC20A2,-1,NM_006749,6575
SLC20A2,-1,NM_001257180,6575
SLC20A2,-1,NM_001257181,6575
SLC20A2,-1,,6575
TUSC2,-1,,11334
TUSC2,-1,NM_007275,11334
LINC02030,1,,
RPL21P91,1,,
NPM1P31,1,,
UBE2V1P5,1,,
RNF7P1,-1,,
SPCS2P2,-1,,
SNAP23,1,,8773
SNAP23,1,NM_003825,8773
SNAP23,1,NM_130798,8773
RPS6P15,-1,,
LINC00845,1,,100507058
PTPRG,1,,5793
PTPRG,1,NM_001375471,5793
PTPRG,1,NM_002841,5793
FAM204A,-1,NM_001134672,63877
FAM204A,-1,NM_022063,63877
FAM204A,-1,,63877
ENO1-AS1,1,,100505975
MICOS10-NBL1,1,,
ERGIC3,1,NM_015966,51614
ERGIC3,1,NM_198398,51614
ERGIC3,1,,51614
PDCL2P2,-1,,
OR5B19P,-1,,
LINC02687,1,,399886
SAC3D1,1,NM_001367485,29901
SAC3D1,1,,29901
SAC3D1,1,NM_001367486,29901
SAC3D1,1,NM_013299,29901
SAC3D1,1,NM_001367487,29901
SAC3D1,1,NM_001367488,29901
ZNF714,1,,148206
ZNF714,1,NM_182515,148206
RPL10P19,1,,
FBXO44,1,NM_183412,93611
FBXO44,1,,93611
FBXO44,1,NM_001330355,93611
FBXO44,1,NM_001304791,93611
FBXO44,1,NM_033182,93611
FBXO44,1,NM_001304790,93611
FBXO44,1,NM_183413,93611
FBXO44,1,NM_001014765,93611
PRPF19,-1,NM_014502,27339
PRPF19,-1,,27339
SH2D4A,1,NM_022071,63898
SH2D4A,1,NM_001363110,63898
SH2D4A,1,NM_001174160,63898
SH2D4A,1,NM_001174159,63898
SH2D4A,1,NM_001363111,63898
SH2D4A,1,,63898
ITGB1BP2,1,NM_012278,26548
ITGB1BP2,1,,26548
ITGB1BP2,1,NM_001303277,26548
ABCD1P3,-1,,
LINC02019,1,,
LINC01989,-1,,101927239
VN1R79P,1,,
SIAH1,-1,,6477
SIAH1,-1,NM_001006610,6477
SIAH1,-1,NM_003031,6477
VN1R82P,1,,
BNIP3P10,-1,,
ATG7,1,,10533
ATG7,1,NM_001144912,10533
ATG7,1,NM_001136031,10533
ATG7,1,NM_001349238,10533
ATG7,1,NM_001349232,10533
ATG7,1,NM_001349233,10533
ATG7,1,NM_001349235,10533
ATG7,1,NM_001349234,10533
ATG7,1,NM_006395,10533
ATG7,1,NM_001349237,10533
ATG7,1,NM_001349236,10533
RASSF8,1,NM_007211,11228
RASSF8,1,,11228
RASSF8,1,NM_001164748,11228
RASSF8,1,NM_001164747,11228
RASSF8,1,NM_001164746,11228
MAN2B2,1,NM_015274,23324
MAN2B2,1,NM_001292038,23324
MAN2B2,1,,23324
SDR42E2,1,NM_001365288,100288072
CILP2,1,,148113
CILP2,1,NM_153221,148113
ZCRB1P1,-1,,
RHOG2P,1,,
PABPN1P1,-1,,
RPL36AL,-1,NM_001001,6166
INGX,-1,,27160
FAM53B-AS1,1,,
DNAJA2,-1,NM_005880,10294
DNAJA2,-1,,10294
SOCS6P1,-1,,
FBXW4,-1,,6468
FBXW4,-1,NM_022039,6468
FBXW4,-1,NM_001323541,6468
OGT,1,,8473
OGT,1,NM_181672,8473
OGT,1,NM_181673,8473
SEL1L,-1,NM_005065,6400
SEL1L,-1,,6400
SEL1L,-1,NM_001244984,6400
TNFRSF10B,-1,,8795
TNFRSF10B,-1,NM_003842,8795
TNFRSF10B,-1,NM_147187,8795
PBX4,-1,,80714
PBX4,-1,NM_025245,80714
CSTF3,-1,,1479
CSTF3,-1,NM_001326,1479
CSTF3,-1,NM_001033505,1479
CSTF3,-1,NM_001033506,1479
LBX1-AS1,1,,
ZRANB1,1,NM_017580,54764
ZRANB1,1,,54764
SLC38A2,-1,NM_018976,54407
SLC38A2,-1,,54407
SLC38A2,-1,NM_001307936,54407
CRTC1,1,NM_015321,23373
CRTC1,1,NM_001098482,23373
CRTC1,1,,23373
METTL22,1,,79091
METTL22,1,NM_024109,79091
NPM1P25,-1,,
GOLGA7B,1,NM_001010917,401647
GOLGA7B,1,,401647
GCNT1P4,1,,
SLC25A34-AS1,-1,,110806303
LGSN,-1,,51557
LGSN,-1,NM_016571,51557
LGSN,-1,NM_001143940,51557
PHB2P1,1,,
DNMBP-AS1,1,,
PRDM2,1,,7799
PRDM2,1,NM_001135610,7799
PRDM2,1,NM_012231,7799
PRDM2,1,NM_001007257,7799
PRDM2,1,NM_015866,7799
BORCS7-ASMT,1,,
MOV10L1,1,,54456
MOV10L1,1,NM_018995,54456
MOV10L1,1,NM_001164104,54456
MOV10L1,1,NM_001164105,54456
MOV10L1,1,NM_001164106,54456
TDRD9,1,NM_153046,122402
TDRD9,1,,122402
ENTPD7,1,NM_001349962,57089
ENTPD7,1,NM_020354,57089
ENTPD7,1,NM_001349963,57089
ENTPD7,1,,57089
LINC02540,-1,,105377860
LINC01616,-1,,106456574
CKAP5,-1,NM_001008938,9793
CKAP5,-1,,9793
CKAP5,-1,NM_014756,9793
TIMM9P1,-1,,
PDCD11,1,,22984
PDCD11,1,NM_014976,22984
LINC02481,-1,,339988
LINC02482,-1,,
SLC29A1,1,,2030
SLC29A1,1,NM_001304465,2030
SLC29A1,1,NM_001304466,2030
SLC29A1,1,NM_001304462,2030
SLC29A1,1,NM_001078175,2030
SLC29A1,1,NM_001372327,2030
SLC29A1,1,NM_001078177,2030
CPLX1,-1,NM_006651,10815
CPLX1,-1,,10815
XKR4,1,NM_052898,114786
XKR4,1,,114786
ZNF93,1,,81931
ZNF93,1,NM_031218,81931
DUX4L45,-1,,
TCEA1,-1,NM_201437,6917
TCEA1,-1,NM_006756,6917
TCEA1,-1,,6917
WFDC8,-1,NM_181510,90199
WFDC8,-1,NM_130896,90199
PRAMEF1,1,NM_023013,65121
PRAMEF1,1,NM_001294139,65121
ECM1P2,1,,
SLC25A1P4,1,,
AGGF1P7,1,,
CFL1P6,-1,,
RNF4,1,,6047
RNF4,1,NM_002938,6047
RNF4,1,NM_001185009,6047
RNF4,1,NM_001185010,6047
BNIP3P27,1,,
VN1R78P,-1,,
PHGR1,1,,644844
PHGR1,1,NM_001145643,644844
BNIP3P9,1,,
BNIP3P15,1,,
BNIP3P17,1,,
NPHP4,-1,,261734
NPHP4,-1,NM_001291594,261734
NPHP4,-1,NM_001291593,261734
NPHP4,-1,NM_015102,261734
ABHD16B,1,NM_080622,140701
SSTR4,1,NM_001052,6754
BNIP3P13,1,,
C16orf87,-1,NM_001348660,388272
C16orf87,-1,NM_001348661,388272
C16orf87,-1,NM_001001436,388272
C16orf87,-1,,388272
VSX1,-1,NM_001256272,30813
VSX1,-1,NM_001256271,30813
VSX1,-1,,30813
VSX1,-1,NM_014588,30813
VSX1,-1,NM_199425,30813
BNIP2,-1,NM_001368060,663
BNIP2,-1,NM_001368059,663
BNIP2,-1,NM_001368057,663
BNIP2,-1,NM_001368061,663
BNIP2,-1,NM_004330,663
BNIP2,-1,NM_001320674,663
BNIP2,-1,,663
BNIP2,-1,NM_001368058,663
BNIP2,-1,NM_001320675,663
MAU2,1,NM_015329,23383
MAU2,1,,23383
CXCR3,-1,NM_001142797,2833
CXCR3,-1,NM_001504,2833
CLIC2,-1,NM_001289,1193
CLIC2,-1,,1193
TAF11L11,1,,
LINC02239,-1,,340107
TWF1P2,-1,,
PHF10P1,1,,
SRD5A2P1,1,,
PLCXD3,-1,NM_001005473,345557
PLCXD3,-1,,345557
MIR1184-2,-1,,100422985
MIR1184-3,1,,100422977
H2AB3,-1,NM_080720,83740
ABCC12,-1,,94160
ABCC12,-1,NM_033226,94160
TMLHE-AS1,1,,100507404
TMLHE-AS1,1,,101927830
LINC02289,-1,,102724190
TMLHE,-1,NM_018196,55217
TMLHE,-1,,55217
TMLHE,-1,NM_001184797,55217
FRMD6-AS1,-1,,145438
LINC02114,1,,101929153
CDC42BPB,-1,NM_006035,9578
CDC42BPB,-1,,9578
C5orf51,1,,285636
C5orf51,1,NM_175921,285636
AK6P2,-1,,
CISTR,-1,,
ZDHHC3,-1,NM_001349377,51304
ZDHHC3,-1,NM_001349376,51304
ZDHHC3,-1,NM_001349378,51304
ZDHHC3,-1,NM_001135179,51304
ZDHHC3,-1,NM_001349381,51304
ZDHHC3,-1,NM_001349380,51304
ZDHHC3,-1,,51304
ZDHHC3,-1,NM_016598,51304
ZDHHC3,-1,NM_001349379,51304
ZDHHC3,-1,NM_001330761,51304
PIGU,-1,NM_080476,128869
PIGU,-1,,128869
SPRY3,1,,10251
SPRY3,1,NM_001304990,10251
SPRY3,1,NM_005840,10251
AMD1P2,-1,,
DPH3P2,1,,
LINC02395,1,,101927292
VAMP7,1,NM_005638,6845
VAMP7,1,,6845
VAMP7,1,NM_001185183,6845
VAMP7,1,NM_001145149,6845
LINC02111,-1,,401177
GUSBP1,1,,728411
FCHO1,1,NM_001161357,23149
FCHO1,1,NM_001384392,23149
FCHO1,1,NM_001384370,23149
FCHO1,1,NM_001384396,23149
FCHO1,1,NM_001384404,23149
FCHO1,1,NM_001384376,23149
FCHO1,1,NM_001384398,23149
FCHO1,1,NM_001384390,23149
FCHO1,1,NM_001384375,23149
FCHO1,1,NM_001384371,23149
FCHO1,1,NM_001384400,23149
FCHO1,1,NM_001384374,23149
FCHO1,1,NM_001384391,23149
FCHO1,1,NM_001384393,23149
FCHO1,1,NM_001384399,23149
FCHO1,1,NM_001384403,23149
FCHO1,1,NM_001384388,23149
FCHO1,1,NM_001384405,23149
FCHO1,1,NM_001384372,23149
FCHO1,1,NM_001384373,23149
FCHO1,1,NM_001161358,23149
FCHO1,1,NM_001384397,23149
FCHO1,1,,23149
FCHO1,1,NM_001384377,23149
FCHO1,1,NM_001384380,23149
FCHO1,1,NM_001384394,23149
FCHO1,1,NM_001384379,23149
FCHO1,1,NM_001384378,23149
FCHO1,1,NM_015122,23149
FCHO1,1,NM_001384401,23149
FCHO1,1,NM_001384389,23149
FCHO1,1,NM_001384387,23149
FCHO1,1,NM_001384381,23149
FCHO1,1,NM_001384406,23149
FCHO1,1,NM_001384407,23149
FCHO1,1,NM_001384384,23149
FCHO1,1,NM_001384385,23149
FCHO1,1,NM_001384386,23149
FCHO1,1,NM_001161359,23149
FCHO1,1,NM_001384402,23149
FCHO1,1,NM_001384395,23149
LINC01491,-1,,
TDRD1,1,NM_001385367,56165
TDRD1,1,NM_001385372,56165
TDRD1,1,NM_001385364,56165
TDRD1,1,NM_001385369,56165
TDRD1,1,NM_001385368,56165
TDRD1,1,NM_001385371,56165
TDRD1,1,NM_001365891,56165
TDRD1,1,NM_198795,56165
TDRD1,1,NM_001385365,56165
TDRD1,1,NM_001385366,56165
TDRD1,1,NM_001385370,56165
TDRD1,1,NM_001385363,56165
TXNDC8,-1,NM_001003936,255220
TXNDC8,-1,NM_001286946,255220
TXNDC8,-1,NM_001286947,255220
TXNDC8,-1,NM_001364963,255220
PSAT1P1,-1,,
RFPL4AP7,-1,,
RANP9,1,,
DLGAP4-AS1,-1,,101926987
NDUFA5P12,1,,
LINC02241,1,,105374676
APH1B,1,,83464
APH1B,1,NM_031301,83464
APH1B,1,NM_001145646,83464
MYL9,1,NM_181526,10398
MYL9,1,NM_006097,10398
RPL29P19,1,,
HOTAIR,-1,,100124700
NRG1-IT3,1,,100874286
NSA2P7,1,,
ELOCP24,-1,,
TRPC6P,-1,,
C9orf50,-1,NM_199350,375759
C9orf50,-1,,375759
IL9R,1,NM_002186,3581
IL9R,1,NM_176786,3581
IL9R,1,,3581
PNOC,1,,5368
PNOC,1,NM_006228,5368
PNOC,1,NM_001284244,5368
,1,,105378516
TGIF2,1,NM_001199513,60436
TGIF2,1,NM_021809,60436
TGIF2,1,NM_001199514,60436
TGIF2,1,,60436
TGIF2,1,NM_001199515,60436
HMGN2P32,-1,,
TSTD2,-1,,158427
TSTD2,-1,NM_139246,158427
STIMATE-MUSTN1,-1,,100526772
STIMATE-MUSTN1,-1,NM_001198974,100526772
PTGES3P4,1,,
PNLIPRP3,1,NM_001011709,119548
LACRT,-1,,90070
LACRT,-1,NM_033277,90070
FAM66A,1,,
,1,,102725080
TGIF2-RAB5IF,1,NM_001199535,100527943
RP1L1,-1,NM_178857,94137
RP1L1,-1,,94137
OR7E103P,-1,,
PNMA2,-1,NM_007257,10687
PNMA2,-1,,10687
ALG1L7P,1,,
TLX1,1,NM_005521,3195
TLX1,1,NM_001195517,3195
TLX1,1,,3195
,-1,,101927318
UBA7,-1,NM_003335,7318
UBA7,-1,,7318
WASIR1,-1,,
DDX11L16,-1,,
RAB5IF,1,NM_001374178,55969
RAB5IF,1,NM_018840,55969
RAB5IF,1,,55969
RAB5IF,1,NM_001199534,55969
RAB5IF,1,NM_199483,55969
OPN1LW,1,NM_020061,5956
OPN1LW,1,,5956
CLUHP8,1,,
C4orf50,-1,,389197
C4orf50,-1,NM_001364690,389197
C4orf50,-1,NM_001364689,389197
SLC25A47,1,NM_207117,283600
SLC25A47,1,NM_001350877,283600
PNLIPP1,1,,
LRRC18,-1,NM_001378102,474354
LRRC18,-1,NM_001006939,474354
HMGN2P34,-1,,
LINC00866,-1,,100505561
BRINP1,-1,,1620
BRINP1,-1,NM_014618,1620
KRT74,-1,,121391
KRT74,-1,NM_175053,121391
CDHR1,1,NM_033100,92211
CDHR1,1,NM_001171971,92211
CDHR1,1,,92211
ANKH-DT,1,,
ATP5MGP3,-1,,
ARL4AP2,1,,
LINC01019,-1,,285577
RPS7P15,1,,
TEX28P2,-1,,
FRMD5,-1,NM_001322950,84978
FRMD5,-1,NM_032892,84978
FRMD5,-1,NM_001322951,84978
FRMD5,-1,NM_001322949,84978
FRMD5,-1,,84978
FRMD5,-1,NM_001286490,84978
FRMD5,-1,NM_001286491,84978
TCIRG1,1,NM_006019,10312
TCIRG1,1,,10312
TCIRG1,1,NM_001351059,10312
TCIRG1,1,NM_006053,10312
OPN1MW,1,NM_000513,2652
OPN1MW,1,,2652
LINC02123,-1,,101929261
RBPMS-AS1,-1,,100128750
ZFR,-1,NM_016107,51663
ZFR,-1,,51663
SLIT2-IT1,1,,100505893
NTF3,1,,4908
NTF3,1,NM_001102654,4908
NTF3,1,NM_002527,4908
ZBTB49,1,,166793
ZBTB49,1,NM_145291,166793
ZBTB49,1,NM_001330625,166793
ASH2L,1,NM_004674,9070
ASH2L,1,,9070
ASH2L,1,NM_001105214,9070
ASH2L,1,NM_001261832,9070
ASH2L,1,NM_001282272,9070
SLA2,-1,NM_032214,84174
SLA2,-1,NM_175077,84174
MRPS36P5,-1,,
OR7E108P,-1,,
TEX28P1,-1,,
IPO8,-1,NM_006390,10526
IPO8,-1,NM_001190995,10526
IPO8,-1,,10526
ANKRD19P,1,,
